Smiles,CorrectionEnergy
Oc1c(Cl)cc(Cl)c(Cl)c1Cc2c(O)c(Cl)cc(Cl)c2Cl,-36.86804087947717
[O-][N+](=O)c1ccc(F)c(c1)[N+]([O-])=O,-2.1340818478845733
NC(CC(N)=O)C(O)=O,28.365595166166273
CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN,41.03455273186359
NC(Cc1[nH]cnc1)C(O)=O,-2.9672906923297546
CCCO,27.94107494214787
NC1=CC=NC(=O)N1,-7.9154033777308115
C[C@H]1O[C@H](C[C@H](O)[C@@H]1O)O[C@H]2[C@@H](O)C[C@@H](O[C@@H]2C)O[C@H]3[C@@H](O)C[C@@H](O[C@@H]3C)O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]7(C)[C@H](CC[C@]67O)C8=CC(=O)OC8)C4,52.39273425478302
[Na+].CC(O)C([O-])=O,27.992585129294227
CC(O)C(N)C(O)=O,27.58134214334527
ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,47.008814678470145
COc1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl,-36.345055358400494
Oc1ccc2C(=O)c3ccccc3C(=O)c2c1O,-35.476094833834146
CCc1ccc(cc1)C(C(Cl)Cl)c2ccc(CC)cc2,-35.08935401569994
NC(Cc1c[nH]c2ccccc12)C(O)=O,-27.02183218530449
Nc1ncnc2nc[nH]c12,-37.30031923622644
CC[C@H](C)[C@H](N)C(O)=O,29.64748632172038
N[S](=O)(=O)c1cc2c(NC(Cc3ccccc3)N[S]2(=O)=O)cc1C(F)(F)F,-19.065066253072075
CCC1NC(=O)c2cc(c(Cl)cc2N1)[S](N)(=O)=O,6.264903710062526
NC(CCCN=C(N)N)C(O)=O,27.173430687242274
C,27.583315092422808
CC,28.199753599447842
C=C,32.310190950918944
C#C,-20.713199359240747
CN,25.908210763772868
C#N,-24.307992194915773
CCC,28.77357210647287
CC#C,-20.413240852215672
ClC=C,32.951560950919045
CCN,26.34992927079792
CC#N,-24.030583687890786
NC=O,27.74604095091907
ON=C,29.53441095091905
CSC,29.488456435122828
C1CO1,29.484433599447822
BrC(Br)Br,32.269035092422875
CC(C)Br,30.07098210647294
ClC(Cl)Br,31.0816050924227
CC(C)I,30.65403210647301
CC(C)N,26.97092777782301
IC(I)I,34.05937509242277
CC1CN1,28.768404942147953
C[As](C)(O)=O,36.38803796496903
CC(C)(C)N,27.37807628484817
CC(C)(C)O,28.210073449172892
CC(F)(F)Cl,27.29661359944807
FC(F)(F)F,24.60650509242269
C[S](O)(=O)=O,39.739172480765426
CC(C)(O)C#N,-23.796953838165585
FC(F)(F)CCl,26.70363359944817
OCC(F)(F)F,25.10772643512319
[O-]C(=O)C(Br)(Br)Br,34.452853786593664
CC(=O)C(C)(C)C,32.726237814695146
CC(C)(C)C(O)=O,30.757652143345343
CC(Cl)(Cl)C(O)=O,31.2437751292942
CC(O)C(Cl)(Cl)Cl,30.184274942148555
OC(=O)C(Cl)(Cl)Cl,31.97208662226903
OC(=O)C(F)(F)Cl,28.88976662226905
OC(=O)C(F)(F)F,27.34289662226892
FC(F)(Cl)C(Cl)(Cl)Cl,30.126913599448148
FC(Cl)(Cl)C(F)(Cl)Cl,30.204153599447764
FC(F)(F)C(F)(F)Cl,25.58977359944778
